plex	channel	sample	sample_name	condition	replicate
05CPTAC_PDA_Proteome_JHU_20200210	131C	CPT0108960003	CPT0108960003	CPT0108960003	1
06CPTAC_PDA_Proteome_JHU_20200214	126	pool	pool	pool	1
06CPTAC_PDA_Proteome_JHU_20200214	127N	CPT0086190004	CPT0086190004	CPT0086190004	1
06CPTAC_PDA_Proteome_JHU_20200214	127C	CPT0025760003	CPT0025760003	CPT0025760003	1
06CPTAC_PDA_Proteome_JHU_20200214	128N	CPT0014040003	CPT0014040003	CPT0014040003	1
06CPTAC_PDA_Proteome_JHU_20200214	128C	CPT0224460004	CPT0224460004	CPT0224460004	1
06CPTAC_PDA_Proteome_JHU_20200214	129N	CPT0162830005	CPT0162830005	CPT0162830005	1
06CPTAC_PDA_Proteome_JHU_20200214	129C	CPT0185920004	CPT0185920004	CPT0185920004	1
06CPTAC_PDA_Proteome_JHU_20200214	130N	CPT0025750003	CPT0025750003	CPT0025750003	1
06CPTAC_PDA_Proteome_JHU_20200214	130C	CPT0014060003	CPT0014060003	CPT0014060003	1
06CPTAC_PDA_Proteome_JHU_20200214	131N	CPT0224470004	CPT0224470004	CPT0224470004	1
06CPTAC_PDA_Proteome_JHU_20200214	131C	CPT0086210003	CPT0086210003	CPT0086210003	1
07CPTAC_PDA_Proteome_JHU_20200224	126	pool	pool	pool	1
07CPTAC_PDA_Proteome_JHU_20200224	127N	CPT0186050004	CPT0186050004	CPT0186050004	1
07CPTAC_PDA_Proteome_JHU_20200224	127C	CPT0246810003	CPT0246810003	CPT0246810003	1
07CPTAC_PDA_Proteome_JHU_20200224	128N	CPT0091680003	CPT0091680003	CPT0091680003	1
07CPTAC_PDA_Proteome_JHU_20200224	128C	CPT0174800003	CPT0174800003	CPT0174800003	1
07CPTAC_PDA_Proteome_JHU_20200224	129N	CPT0108400003	CPT0108400003	CPT0108400003	1
07CPTAC_PDA_Proteome_JHU_20200224	129C	CPT0174700004	CPT0174700004	CPT0174700004	1
07CPTAC_PDA_Proteome_JHU_20200224	130N	CPT0109010004	CPT0109010004	CPT0109010004	1
07CPTAC_PDA_Proteome_JHU_20200224	130C	CPT0091660003	CPT0091660003	CPT0091660003	1
07CPTAC_PDA_Proteome_JHU_20200224	131N	CPT0186040004	CPT0186040004	CPT0186040004	1
07CPTAC_PDA_Proteome_JHU_20200224	131C	CPT0108410003	CPT0108410003	CPT0108410003	1
08CPTAC_PDA_Proteome_JHU_20200228	126	pool	pool	pool	1
08CPTAC_PDA_Proteome_JHU_20200228	127N	CPT0124530003	CPT0124530003	CPT0124530003	1
08CPTAC_PDA_Proteome_JHU_20200228	127C	CPT0246720003	CPT0246720003	CPT0246720003	1
08CPTAC_PDA_Proteome_JHU_20200228	128N	CPT0138890003	CPT0138890003	CPT0138890003	1
08CPTAC_PDA_Proteome_JHU_20200228	128C	CPT0162670004	CPT0162670004	CPT0162670004	1
08CPTAC_PDA_Proteome_JHU_20200228	129N	CPT0238940004	CPT0238940004	CPT0238940004	1
08CPTAC_PDA_Proteome_JHU_20200228	129C	CPT0238920004	CPT0238920004	CPT0238920004	1
08CPTAC_PDA_Proteome_JHU_20200228	130N	CPT0094030003	CPT0094030003	CPT0094030003	1
